Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
12.43 25.44 40.44 56.56 1:14.35 - 1:04.81 49.10 1:42.44 3:53.11 514
- 25.45 40.45 56.58 1:14.38 17.61 1:04.84 49.12 1:42.48 3:53.21 513
12.44 25.46 40.47 56.60 1:14.41 17.62 1:04.87 49.14 1:42.52 3:53.30 512
- 25.47 40.48 56.62 1:14.44 17.63 1:04.90 49.16 1:42.56 3:53.40 511
- 25.48 40.50 56.65 1:14.47 17.64 1:04.93 49.18 1:42.60 3:53.50 510
12.45 25.49 40.52 56.67 1:14.50 - 1:04.96 49.20 1:42.64 3:53.60 509
- 25.50 40.53 56.69 1:14.53 17.65 1:04.99 49.22 1:42.68 3:53.70 508
12.46 - 40.55 56.71 1:14.56 17.66 1:05.02 49.24 1:42.72 3:53.80 507
- 25.51 40.57 56.73 1:14.58 17.67 1:05.05 49.26 1:42.77 3:53.90 506
12.47 25.52 40.58 56.76 1:14.61 17.68 1:05.08 49.28 1:42.81 3:54.00 505
- 25.53 40.60 56.78 1:14.64 - 1:05.11 49.30 1:42.85 3:54.09 504
12.48 25.54 40.62 56.80 1:14.67 17.69 1:05.14 49.32 1:42.89 3:54.19 503
- 25.55 40.63 56.82 1:14.70 17.70 1:05.17 49.34 1:42.93 3:54.29 502
- 25.56 40.65 56.84 1:14.73 17.71 1:05.20 49.36 1:42.97 3:54.39 501
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
20
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
500 12.49 25.57 40.67 56.87 1:14.76 17.72 1:05.23 49.38 1:43.01 3:54.49
499 - 25.58 40.68 56.89 1:14.79 - 1:05.26 49.40 1:43.05 3:54.59
498 12.50 25.59 40.70 56.91 1:14.82 17.73 1:05.29 49.42 1:43.09 3:54.69
497 - 25.60 40.72 56.93 1:14.85 17.74 1:05.32 49.44 1:43.13 3:54.79
496 12.51 25.61 40.73 56.95 1:14.88 17.75 1:05.35 49.46 1:43.17 3:54.89
495 - 25.62 40.75 56.98 1:14.91 17.76 1:05.39 49.48 1:43.22 3:54.99
494 12.52 25.63 40.76 57.00 1:14.94 - 1:05.42 49.50 1:43.26 3:55.09
493 - 25.64 40.78 57.02 1:14.97 17.77 1:05.45 49.52 1:43.30 3:55.19
492 12.53 25.65 40.80 57.04 1:14.99 17.78 1:05.48 49.54 1:43.34 3:55.29
491 - 25.66 40.81 57.07 1:15.02 17.79 1:05.51 49.56 1:43.38 3:55.39
490 - 25.67 40.83 57.09 1:15.05 17.80 1:05.54 49.58 1:43.42 3:55.49
489 12.54 25.68 40.85 57.11 1:15.08 17.81 1:05.57 49.60 1:43.46 3:55.59
488 - 25.69 40.87 57.13 1:15.11 - 1:05.60 49.62 1:43.51 3:55.69
487 12.55 25.70 40.88 57.16 1:15.14 17.82 1:05.63 49.65 1:43.55 3:55.79
486 - 25.71 40.90 57.18 1:15.17 17.83 1:05.66 49.67 1:43.59 3:55.89
485 12.56 25.72 40.92 57.20 1:15.20 17.84 1:05.69 49.69 1:43.63 3:56.00
484 - 25.73 40.93 57.22 1:15.23 17.85 1:05.72 49.71 1:43.67 3:56.10
483 12.57 25.74 40.95 57.24 1:15.26 - 1:05.75 49.73 1:43.71 3:56.20
482 - 25.75 40.97 57.27 1:15.29 17.86 1:05.78 49.75 1:43.76 3:56.30
481 12.58 25.76 40.98 57.29 1:15.32 17.87 1:05.81 49.77 1:43.80 3:56.40
480 - 25.77 41.00 57.31 1:15.35 17.88 1:05.85 49.79 1:43.84 3:56.50
479 12.59 25.78 41.02 57.34 1:15.38 17.89 1:05.88 49.81 1:43.88 3:56.60
478 - 25.79 41.03 57.36 1:15.41 17.90 1:05.91 49.83 1:43.92 3:56.70
477 - 25.80 41.05 57.38 1:15.44 - 1:05.94 49.85 1:43.96 3:56.81
476 12.60 25.82 41.07 57.40 1:15.47 17.91 1:05.97 49.87 1:44.01 3:56.91
475 - 25.83 41.08 57.43 1:15.50 17.92 1:06.00 49.89 1:44.05 3:57.01
474 12.61 25.84 41.10 57.45 1:15.53 17.93 1:06.03 49.91 1:44.09 3:57.11
473 - 25.85 41.12 57.47 1:15.56 17.94 1:06.06 49.93 1:44.13 3:57.22
472 12.62 25.86 41.14 57.49 1:15.59 17.95 1:06.09 49.95 1:44.17 3:57.32
471 - 25.87 41.15 57.52 1:15.62 - 1:06.12 49.97 1:44.22 3:57.42
470 12.63 25.88 41.17 57.54 1:15.65 17.96 1:06.16 49.99 1:44.26 3:57.52
469 - 25.89 41.19 57.56 1:15.68 17.97 1:06.19 50.02 1:44.30 3:57.63
468 12.64 25.90 41.20 57.59 1:15.71 17.98 1:06.22 50.04 1:44.34 3:57.73
467 - 25.91 41.22 57.61 1:15.74 17.99 1:06.25 50.06 1:44.39 3:57.83
466 12.65 25.92 41.24 57.63 1:15.77 18.00 1:06.28 50.08 1:44.43 3:57.93
465 - 25.93 41.25 57.65 1:15.80 - 1:06.31 50.10 1:44.47 3:58.04
464 - 25.94 41.27 57.68 1:15.83 18.01 1:06.34 50.12 1:44.51 3:58.14
463 12.66 25.95 41.29 57.70 1:15.86 18.02 1:06.37 50.14 1:44.56 3:58.24
462 - 25.96 41.31 57.72 1:15.89 18.03 1:06.41 50.16 1:44.60 3:58.35
461 12.67 25.97 41.32 57.75 1:15.92 18.04 1:06.44 50.18 1:44.64 3:58.45
460 - 25.98 41.34 57.77 1:15.95 18.05 1:06.47 50.20 1:44.68 3:58.55
459 12.68 25.99 41.36 57.79 1:15.98 - 1:06.50 50.22 1:44.73 3:58.66
458 - 26.00 41.37 57.82 1:16.01 18.06 1:06.53 50.25 1:44.77 3:58.76
457 12.69 26.01 41.39 57.84 1:16.05 18.07 1:06.56 50.27 1:44.81 3:58.87
456 - 26.02 41.41 57.86 1:16.08 18.08 1:06.60 50.29 1:44.86 3:58.97
455 12.70 26.03 41.43 57.88 1:16.11 18.09 1:06.63 50.31 1:44.90 3:59.07
454 - 26.04 41.44 57.91 1:16.14 18.10 1:06.66 50.33 1:44.94 3:59.18
453 12.71 26.05 41.46 57.93 1:16.17 - 1:06.69 50.35 1:44.98 3:59.28
452 - 26.06 41.48 57.95 1:16.20 18.11 1:06.72 50.37 1:45.03 3:59.39
451 12.72 26.07 41.50 57.98 1:16.23 18.12 1:06.75 50.39 1:45.07 3:59.49
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
21
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
- 26.08 41.51 58.00 1:16.26 18.13 1:06.79 50.41 1:45.11 3:59.60 450
12.73 26.09 41.53 58.02 1:16.29 18.14 1:06.82 50.44 1:45.16 3:59.70 449
- 26.10 41.55 58.05 1:16.32 18.15 1:06.85 50.46 1:45.20 3:59.81 448
- 26.11 41.57 58.07 1:16.35 18.16 1:06.88 50.48 1:45.24 3:59.91 447
12.74 26.13 41.58 58.09 1:16.38 - 1:06.91 50.50 1:45.29 4:00.02 446
- 26.14 41.60 58.12 1:16.41 18.17 1:06.95 50.52 1:45.33 4:00.12 445
12.75 26.15 41.62 58.14 1:16.45 18.18 1:06.98 50.54 1:45.37 4:00.23 444
- 26.16 41.64 58.17 1:16.48 18.19 1:07.01 50.56 1:45.42 4:00.33 443
12.76 26.17 41.65 58.19 1:16.51 18.20 1:07.04 50.58 1:45.46 4:00.44 442
- 26.18 41.67 58.21 1:16.54 18.21 1:07.08 50.61 1:45.50 4:00.55 441
12.77 26.19 41.69 58.24 1:16.57 18.22 1:07.11 50.63 1:45.55 4:00.65 440
- 26.20 41.71 58.26 1:16.60 - 1:07.14 50.65 1:45.59 4:00.76 439
12.78 26.21 41.72 58.28 1:16.63 18.23 1:07.17 50.67 1:45.64 4:00.86 438
- 26.22 41.74 58.31 1:16.66 18.24 1:07.20 50.69 1:45.68 4:00.97 437
12.79 26.23 41.76 58.33 1:16.69 18.25 1:07.24 50.71 1:45.72 4:01.08 436
- 26.24 41.78 58.35 1:16.73 18.26 1:07.27 50.73 1:45.77 4:01.18 435
12.80 26.25 41.80 58.38 1:16.76 18.27 1:07.30 50.76 1:45.81 4:01.29 434
- 26.26 41.81 58.40 1:16.79 18.28 1:07.33 50.78 1:45.86 4:01.40 433
12.81 26.27 41.83 58.43 1:16.82 18.29 1:07.37 50.80 1:45.90 4:01.50 432
- 26.28 41.85 58.45 1:16.85 - 1:07.40 50.82 1:45.94 4:01.61 431
12.82 26.29 41.87 58.47 1:16.88 18.30 1:07.43 50.84 1:45.99 4:01.72 430
- 26.31 41.88 58.50 1:16.91 18.31 1:07.46 50.86 1:46.03 4:01.83 429
12.83 26.32 41.90 58.52 1:16.95 18.32 1:07.50 50.89 1:46.08 4:01.93 428
- 26.33 41.92 58.54 1:16.98 18.33 1:07.53 50.91 1:46.12 4:02.04 427
12.84 26.34 41.94 58.57 1:17.01 18.34 1:07.56 50.93 1:46.16 4:02.15 426
- 26.35 41.96 58.59 1:17.04 18.35 1:07.60 50.95 1:46.21 4:02.26 425
12.85 26.36 41.97 58.62 1:17.07 18.36 1:07.63 50.97 1:46.25 4:02.37 424
- 26.37 41.99 58.64 1:17.10 - 1:07.66 51.00 1:46.30 4:02.47 423
12.86 26.38 42.01 58.66 1:17.14 18.37 1:07.69 51.02 1:46.34 4:02.58 422
- 26.39 42.03 58.69 1:17.17 18.38 1:07.73 51.04 1:46.39 4:02.69 421
12.87 26.40 42.05 58.71 1:17.20 18.39 1:07.76 51.06 1:46.43 4:02.80 420
- 26.41 42.06 58.74 1:17.23 18.40 1:07.79 51.08 1:46.48 4:02.91 419
12.88 26.42 42.08 58.76 1:17.26 18.41 1:07.83 51.11 1:46.52 4:03.02 418
- 26.43 42.10 58.79 1:17.30 18.42 1:07.86 51.13 1:46.57 4:03.12 417
12.89 26.45 42.12 58.81 1:17.33 18.43 1:07.89 51.15 1:46.61 4:03.23 416
- 26.46 42.14 58.83 1:17.36 - 1:07.93 51.17 1:46.66 4:03.34 415
12.90 26.47 42.15 58.86 1:17.39 18.44 1:07.96 51.19 1:46.70 4:03.45 414
- 26.48 42.17 58.88 1:17.42 18.45 1:07.99 51.22 1:46.75 4:03.56 413
12.91 26.49 42.19 58.91 1:17.46 18.46 1:08.03 51.24 1:46.79 4:03.67 412
- 26.50 42.21 58.93 1:17.49 18.47 1:08.06 51.26 1:46.84 4:03.78 411
12.92 26.51 42.23 58.96 1:17.52 18.48 1:08.09 51.28 1:46.88 4:03.89 410
- 26.52 42.25 58.98 1:17.55 18.49 1:08.13 51.30 1:46.93 4:04.00 409
- 26.53 42.26 59.00 1:17.59 18.50 1:08.16 51.33 1:46.97 4:04.11 408
12.93 26.54 42.28 59.03 1:17.62 18.51 1:08.19 51.35 1:47.02 4:04.22 407
- 26.56 42.30 59.05 1:17.65 - 1:08.23 51.37 1:47.06 4:04.33 406
12.94 26.57 42.32 59.08 1:17.68 18.52 1:08.26 51.39 1:47.11 4:04.44 405
- 26.58 42.34 59.10 1:17.72 18.53 1:08.29 51.42 1:47.15 4:04.55 404
12.95 26.59 42.36 59.13 1:17.75 18.54 1:08.33 51.44 1:47.20 4:04.66 403
12.96 26.60 42.37 59.15 1:17.78 18.55 1:08.36 51.46 1:47.25 4:04.77 402
- 26.61 42.39 59.18 1:17.81 18.56 1:08.39 51.48 1:47.29 4:04.88 401
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
22
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
400 12.97 26.62 42.41 59.20 1:17.85 18.57 1:08.43 51.51 1:47.34 4:05.00
399 - 26.63 42.43 59.23 1:17.88 18.58 1:08.46 51.53 1:47.38 4:05.11
398 12.98 26.64 42.45 59.25 1:17.91 18.59 1:08.50 51.55 1:47.43 4:05.22
397 - 26.65 42.47 59.28 1:17.94 18.60 1:08.53 51.57 1:47.48 4:05.33
396 12.99 26.67 42.48 59.30 1:17.98 - 1:08.56 51.60 1:47.52 4:05.44
395 - 26.68 42.50 59.33 1:18.01 18.61 1:08.60 51.62 1:47.57 4:05.55
394 13.00 26.69 42.52 59.35 1:18.04 18.62 1:08.63 51.64 1:47.61 4:05.67
393 - 26.70 42.54 59.38 1:18.08 18.63 1:08.67 51.66 1:47.66 4:05.78
392 13.01 26.71 42.56 59.40 1:18.11 18.64 1:08.70 51.69 1:47.71 4:05.89
391 - 26.72 42.58 59.43 1:18.14 18.65 1:08.73 51.71 1:47.75 4:06.00
390 13.02 26.73 42.60 59.45 1:18.18 18.66 1:08.77 51.73 1:47.80 4:06.12
389 - 26.74 42.62 59.48 1:18.21 18.67 1:08.80 51.75 1:47.85 4:06.23
388 13.03 26.76 42.63 59.50 1:18.24 18.68 1:08.84 51.78 1:47.89 4:06.34
387 - 26.77 42.65 59.53 1:18.27 18.69 1:08.87 51.80 1:47.94 4:06.45
386 13.04 26.78 42.67 59.55 1:18.31 18.70 1:08.91 51.82 1:47.98 4:06.57
385 - 26.79 42.69 59.58 1:18.34 18.71 1:08.94 51.85 1:48.03 4:06.68
384 13.05 26.80 42.71 59.60 1:18.37 - 1:08.98 51.87 1:48.08 4:06.79
383 - 26.81 42.73 59.63 1:18.41 18.72 1:09.01 51.89 1:48.12 4:06.91
382 13.06 26.82 42.75 59.65 1:18.44 18.73 1:09.04 51.91 1:48.17 4:07.02
381 - 26.83 42.77 59.68 1:18.47 18.74 1:09.08 51.94 1:48.22 4:07.14
380 13.07 26.85 42.78 59.70 1:18.51 18.75 1:09.11 51.96 1:48.27 4:07.25
379 - 26.86 42.80 59.73 1:18.54 18.76 1:09.15 51.98 1:48.31 4:07.36
378 13.08 26.87 42.82 59.75 1:18.58 18.77 1:09.18 52.01 1:48.36 4:07.48
377 - 26.88 42.84 59.78 1:18.61 18.78 1:09.22 52.03 1:48.41 4:07.59
376 13.09 26.89 42.86 59.80 1:18.64 18.79 1:09.25 52.05 1:48.45 4:07.71
375 - 26.90 42.88 59.83 1:18.68 18.80 1:09.29 52.08 1:48.50 4:07.82
374 13.10 26.91 42.90 59.86 1:18.71 18.81 1:09.32 52.10 1:48.55 4:07.94
373 - 26.93 42.92 59.88 1:18.74 18.82 1:09.36 52.12 1:48.60 4:08.05
372 13.11 26.94 42.94 59.91 1:18.78 18.83 1:09.39 52.15 1:48.64 4:08.17
371 - 26.95 42.96 59.93 1:18.81 18.84 1:09.43 52.17 1:48.69 4:08.28
370 13.12 26.96 42.98 59.96 1:18.85 - 1:09.46 52.19 1:48.74 4:08.40
369 - 26.97 43.00 59.98 1:18.88 18.85 1:09.50 52.22 1:48.79 4:08.51
368 13.13 26.98 43.01 1:00.01 1:18.91 18.86 1:09.53 52.24 1:48.83 4:08.63
367 - 27.00 43.03 1:00.04 1:18.95 18.87 1:09.57 52.26 1:48.88 4:08.75
366 13.14 27.01 43.05 1:00.06 1:18.98 18.88 1:09.60 52.29 1:48.93 4:08.86
365 13.15 27.02 43.07 1:00.09 1:19.02 18.89 1:09.64 52.31 1:48.98 4:08.98
364 - 27.03 43.09 1:00.11 1:19.05 18.90 1:09.68 52.33 1:49.03 4:09.10
363 13.16 27.04 43.11 1:00.14 1:19.08 18.91 1:09.71 52.36 1:49.07 4:09.21
362 - 27.05 43.13 1:00.17 1:19.12 18.92 1:09.75 52.38 1:49.12 4:09.33
361 13.17 27.07 43.15 1:00.19 1:19.15 18.93 1:09.78 52.40 1:49.17 4:09.45
360 - 27.08 43.17 1:00.22 1:19.19 18.94 1:09.82 52.43 1:49.22 4:09.56
359 13.18 27.09 43.19 1:00.24 1:19.22 18.95 1:09.85 52.45 1:49.27 4:09.68
358 - 27.10 43.21 1:00.27 1:19.26 18.96 1:09.89 52.48 1:49.32 4:09.80
357 13.19 27.11 43.23 1:00.30 1:19.29 18.97 1:09.92 52.50 1:49.36 4:09.92
356 - 27.12 43.25 1:00.32 1:19.33 18.98 1:09.96 52.52 1:49.41 4:10.03
355 13.20 27.14 43.27 1:00.35 1:19.36 18.99 1:10.00 52.55 1:49.46 4:10.15
354 - 27.15 43.29 1:00.37 1:19.40 19.00 1:10.03 52.57 1:49.51 4:10.27
353 13.21 27.16 43.31 1:00.40 1:19.43 19.01 1:10.07 52.60 1:49.56 4:10.39
352 - 27.17 43.33 1:00.43 1:19.47 19.02 1:10.10 52.62 1:49.61 4:10.51
351 13.22 27.18 43.35 1:00.45 1:19.50 19.03 1:10.14 52.64 1:49.66 4:10.63
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
23
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
13.23 27.19 43.37 1:00.48 1:19.54 19.04 1:10.18 52.67 1:49.71 4:10.74 350
- 27.21 43.39 1:00.51 1:19.57 19.05 1:10.21 52.69 1:49.75 4:10.86 349
13.24 27.22 43.41 1:00.53 1:19.61 - 1:10.25 52.72 1:49.80 4:10.98 348
- 27.23 43.42 1:00.56 1:19.64 19.06 1:10.29 52.74 1:49.85 4:11.10 347
13.25 27.24 43.44 1:00.59 1:19.68 19.07 1:10.32 52.76 1:49.90 4:11.22 346
- 27.25 43.46 1:00.61 1:19.71 19.08 1:10.36 52.79 1:49.95 4:11.34 345
13.26 27.27 43.48 1:00.64 1:19.75 19.09 1:10.39 52.81 1:50.00 4:11.46 344
- 27.28 43.50 1:00.67 1:19.78 19.10 1:10.43 52.84 1:50.05 4:11.58 343
13.27 27.29 43.52 1:00.69 1:19.82 19.11 1:10.47 52.86 1:50.10 4:11.70 342
- 27.30 43.54 1:00.72 1:19.85 19.12 1:10.50 52.89 1:50.15 4:11.82 341
13.28 27.31 43.56 1:00.75 1:19.89 19.13 1:10.54 52.91 1:50.20 4:11.94 340
13.29 27.33 43.58 1:00.77 1:19.92 19.14 1:10.58 52.93 1:50.25 4:12.06 339
- 27.34 43.60 1:00.80 1:19.96 19.15 1:10.61 52.96 1:50.30 4:12.18 338
13.30 27.35 43.62 1:00.83 1:19.99 19.16 1:10.65 52.98 1:50.35 4:12.30 337
- 27.36 43.64 1:00.85 1:20.03 19.17 1:10.69 53.01 1:50.40 4:12.43 336
13.31 27.37 43.67 1:00.88 1:20.06 19.18 1:10.72 53.03 1:50.45 4:12.55 335
- 27.39 43.69 1:00.91 1:20.10 19.19 1:10.76 53.06 1:50.50 4:12.67 334
13.32 27.40 43.71 1:00.94 1:20.14 19.20 1:10.80 53.08 1:50.55 4:12.79 333
- 27.41 43.73 1:00.96 1:20.17 19.21 1:10.84 53.11 1:50.60 4:12.91 332
13.33 27.42 43.75 1:00.99 1:20.21 19.22 1:10.87 53.13 1:50.65 4:13.04 331
- 27.44 43.77 1:01.02 1:20.24 19.23 1:10.91 53.16 1:50.70 4:13.16 330
13.34 27.45 43.79 1:01.04 1:20.28 19.24 1:10.95 53.18 1:50.75 4:13.28 329
13.35 27.46 43.81 1:01.07 1:20.32 19.25 1:10.99 53.20 1:50.80 4:13.40 328
- 27.47 43.83 1:01.10 1:20.35 19.26 1:11.02 53.23 1:50.85 4:13.53 327
13.36 27.48 43.85 1:01.13 1:20.39 19.27 1:11.06 53.25 1:50.90 4:13.65 326
- 27.50 43.87 1:01.15 1:20.42 19.28 1:11.10 53.28 1:50.95 4:13.77 325
13.37 27.51 43.89 1:01.18 1:20.46 19.29 1:11.14 53.30 1:51.00 4:13.90 324
- 27.52 43.91 1:01.21 1:20.50 19.30 1:11.17 53.33 1:51.05 4:14.02 323
13.38 27.53 43.93 1:01.24 1:20.53 19.31 1:11.21 53.35 1:51.11 4:14.14 322
- 27.55 43.95 1:01.26 1:20.57 19.32 1:11.25 53.38 1:51.16 4:14.27 321
13.39 27.56 43.97 1:01.29 1:20.61 19.33 1:11.29 53.40 1:51.21 4:14.39 320
13.40 27.57 43.99 1:01.32 1:20.64 19.34 1:11.32 53.43 1:51.26 4:14.52 319
- 27.58 44.01 1:01.35 1:20.68 19.35 1:11.36 53.46 1:51.31 4:14.64 318
13.41 27.60 44.03 1:01.37 1:20.72 19.36 1:11.40 53.48 1:51.36 4:14.77 317
- 27.61 44.05 1:01.40 1:20.75 19.37 1:11.44 53.51 1:51.41 4:14.89 316
13.42 27.62 44.08 1:01.43 1:20.79 19.38 1:11.48 53.53 1:51.46 4:15.02 315
- 27.63 44.10 1:01.46 1:20.83 19.39 1:11.51 53.56 1:51.52 4:15.14 314
13.43 27.65 44.12 1:01.49 1:20.86 19.40 1:11.55 53.58 1:51.57 4:15.27 313
13.44 27.66 44.14 1:01.51 1:20.90 19.41 1:11.59 53.61 1:51.62 4:15.39 312
- 27.67 44.16 1:01.54 1:20.94 19.42 1:11.63 53.63 1:51.67 4:15.52 311
13.45 27.68 44.18 1:01.57 1:20.98 19.43 1:11.67 53.66 1:51.72 4:15.65 310
- 27.70 44.20 1:01.60 1:21.01 19.44 1:11.71 53.68 1:51.78 4:15.77 309
13.46 27.71 44.22 1:01.63 1:21.05 19.45 1:11.74 53.71 1:51.83 4:15.90 308
- 27.72 44.24 1:01.65 1:21.09 19.46 1:11.78 53.73 1:51.88 4:16.03 307
13.47 27.73 44.26 1:01.68 1:21.12 19.47 1:11.82 53.76 1:51.93 4:16.15 306
13.48 27.75 44.29 1:01.71 1:21.16 19.48 1:11.86 53.79 1:51.99 4:16.28 305
- 27.76 44.31 1:01.74 1:21.20 19.50 1:11.90 53.81 1:52.04 4:16.41 304
13.49 27.77 44.33 1:01.77 1:21.24 19.51 1:11.94 53.84 1:52.09 4:16.54 303
- 27.78 44.35 1:01.80 1:21.27 19.52 1:11.98 53.86 1:52.14 4:16.66 302
13.50 27.80 44.37 1:01.82 1:21.31 19.53 1:12.02 53.89 1:52.20 4:16.79 301
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
24
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
300 - 27.81 44.39 1:01.85 1:21.35 19.54 1:12.05 53.92 1:52.25 4:16.92
299 13.51 27.82 44.41 1:01.88 1:21.39 19.55 1:12.09 53.94 1:52.30 4:17.05
298 13.52 27.84 44.43 1:01.91 1:21.43 19.56 1:12.13 53.97 1:52.35 4:17.18
297 - 27.85 44.46 1:01.94 1:21.46 19.57 1:12.17 53.99 1:52.41 4:17.31
296 13.53 27.86 44.48 1:01.97 1:21.50 19.58 1:12.21 54.02 1:52.46 4:17.44
295 - 27.87 44.50 1:02.00 1:21.54 19.59 1:12.25 54.05 1:52.51 4:17.56
294 13.54 27.89 44.52 1:02.03 1:21.58 19.60 1:12.29 54.07 1:52.57 4:17.69
293 13.55 27.90 44.54 1:02.05 1:21.62 19.61 1:12.33 54.10 1:52.62 4:17.82
292 - 27.91 44.56 1:02.08 1:21.65 19.62 1:12.37 54.12 1:52.67 4:17.95
291 13.56 27.93 44.58 1:02.11 1:21.69 19.63 1:12.41 54.15 1:52.73 4:18.08
290 - 27.94 44.61 1:02.14 1:21.73 19.64 1:12.45 54.18 1:52.78 4:18.22
289 13.57 27.95 44.63 1:02.17 1:21.77 19.65 1:12.49 54.20 1:52.84 4:18.35
288 13.58 27.97 44.65 1:02.20 1:21.81 19.66 1:12.53 54.23 1:52.89 4:18.48
287 - 27.98 44.67 1:02.23 1:21.85 19.67 1:12.57 54.26 1:52.94 4:18.61
286 13.59 27.99 44.69 1:02.26 1:21.88 19.68 1:12.61 54.28 1:53.00 4:18.74
285 - 28.00 44.72 1:02.29 1:21.92 19.70 1:12.65 54.31 1:53.05 4:18.87
284 13.60 28.02 44.74 1:02.32 1:21.96 19.71 1:12.69 54.34 1:53.11 4:19.00
283 13.61 28.03 44.76 1:02.35 1:22.00 19.72 1:12.73 54.36 1:53.16 4:19.14
282 - 28.04 44.78 1:02.38 1:22.04 19.73 1:12.77 54.39 1:53.22 4:19.27
281 13.62 28.06 44.80 1:02.41 1:22.08 19.74 1:12.81 54.42 1:53.27 4:19.40
280 - 28.07 44.83 1:02.43 1:22.12 19.75 1:12.85 54.44 1:53.33 4:19.53
279 13.63 28.08 44.85 1:02.46 1:22.16 19.76 1:12.89 54.47 1:53.38 4:19.67
278 13.64 28.10 44.87 1:02.49 1:22.20 19.77 1:12.93 54.50 1:53.43 4:19.80
277 - 28.11 44.89 1:02.52 1:22.23 19.78 1:12.97 54.52 1:53.49 4:19.93
276 13.65 28.12 44.91 1:02.55 1:22.27 19.79 1:13.01 54.55 1:53.55 4:20.07
275 - 28.14 44.94 1:02.58 1:22.31 19.80 1:13.05 54.58 1:53.60 4:20.20
274 13.66 28.15 44.96 1:02.61 1:22.35 19.81 1:13.09 54.61 1:53.66 4:20.34
273 13.67 28.16 44.98 1:02.64 1:22.39 19.83 1:13.13 54.63 1:53.71 4:20.47
272 - 28.18 45.00 1:02.67 1:22.43 19.84 1:13.18 54.66 1:53.77 4:20.60
271 13.68 28.19 45.03 1:02.70 1:22.47 19.85 1:13.22 54.69 1:53.82 4:20.74
270 - 28.20 45.05 1:02.73 1:22.51 19.86 1:13.26 54.72 1:53.88 4:20.87
269 13.69 28.22 45.07 1:02.76 1:22.55 19.87 1:13.30 54.74 1:53.93 4:21.01
268 13.70 28.23 45.09 1:02.79 1:22.59 19.88 1:13.34 54.77 1:53.99 4:21.15
267 - 28.25 45.12 1:02.82 1:22.63 19.89 1:13.38 54.80 1:54.05 4:21.28
266 13.71 28.26 45.14 1:02.85 1:22.67 19.90 1:13.42 54.82 1:54.10 4:21.42
265 - 28.27 45.16 1:02.88 1:22.71 19.91 1:13.46 54.85 1:54.16 4:21.56
264 13.72 28.29 45.18 1:02.91 1:22.75 19.92 1:13.51 54.88 1:54.21 4:21.69
263 13.73 28.30 45.21 1:02.95 1:22.79 19.94 1:13.55 54.91 1:54.27 4:21.83
262 - 28.31 45.23 1:02.98 1:22.83 19.95 1:13.59 54.94 1:54.33 4:21.97
261 13.74 28.33 45.25 1:03.01 1:22.87 19.96 1:13.63 54.96 1:54.38 4:22.10
260 13.75 28.34 45.28 1:03.04 1:22.91 19.97 1:13.67 54.99 1:54.44 4:22.24
259 - 28.35 45.30 1:03.07 1:22.95 19.98 1:13.72 55.02 1:54.50 4:22.38
258 13.76 28.37 45.32 1:03.10 1:22.99 19.99 1:13.76 55.05 1:54.55 4:22.52
257 - 28.38 45.34 1:03.13 1:23.04 20.00 1:13.80 55.08 1:54.61 4:22.66
256 13.77 28.40 45.37 1:03.16 1:23.08 20.01 1:13.84 55.10 1:54.67 4:22.80
255 13.78 28.41 45.39 1:03.19 1:23.12 20.03 1:13.88 55.13 1:54.73 4:22.94
254 - 28.42 45.41 1:03.22 1:23.16 20.04 1:13.93 55.16 1:54.78 4:23.07
253 13.79 28.44 45.44 1:03.25 1:23.20 20.05 1:13.97 55.19 1:54.84 4:23.21
252 13.80 28.45 45.46 1:03.28 1:23.24 20.06 1:14.01 55.22 1:54.90 4:23.35
251 - 28.47 45.48 1:03.32 1:23.28 20.07 1:14.05 55.24 1:54.96 4:23.49
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
25
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
13.81 28.48 45.51 1:03.35 1:23.32 20.08 1:14.10 55.27 1:55.01 4:23.64 250
13.82 28.49 45.53 1:03.38 1:23.36 20.09 1:14.14 55.30 1:55.07 4:23.78 249
- 28.51 45.55 1:03.41 1:23.41 20.11 1:14.18 55.33 1:55.13 4:23.92 248
13.83 28.52 45.58 1:03.44 1:23.45 20.12 1:14.23 55.36 1:55.19 4:24.06 247
- 28.54 45.60 1:03.47 1:23.49 20.13 1:14.27 55.39 1:55.25 4:24.20 246
